model,model_name,model_id,input_price,output_price,api_type,api_base,api_key
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,deepseek-r1-distill-qwen-14b,,0.15,0.15,openai,YOUR_API_BASE_URL,YOUR_API_KEY
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,deepseek-r1-distill-qwen-32b,,0.3,0.3,openai,YOUR_API_BASE_URL,YOUR_API_KEY
deepseek-ai/DeepSeek-V3-0324,deepseek-v3-0324,,0.28,1.14,openai,YOUR_API_BASE_URL,YOUR_API_KEY
Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,,0.38,0.4,openai,YOUR_API_BASE_URL,YOUR_API_KEY
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,,0.04,0.1,openai,YOUR_API_BASE_URL,YOUR_API_KEY
deepseek-ai/DeepSeek-R1,deepseek-r1,,0.7,2.5,openai,YOUR_API_BASE_URL,YOUR_API_KEY
deepseek-ai/DeepSeek-R1-0528,deepseek-r1-0528,,0.7,2.5,openai,YOUR_API_BASE_URL,YOUR_API_KEY
deepseek-ai/DeepSeek-V3,deepseek-v3,,0.4,1.3,openai,YOUR_API_BASE_URL,YOUR_API_KEY
Qwen/Qwen3-14B,Qwen3-14B,,0.08,0.24,openai,YOUR_API_BASE_URL,YOUR_API_KEY
Qwen/Qwen3-235B-A22B,Qwen3-235B-A22B,,0.2,0.6,openai,YOUR_API_BASE_URL,YOUR_API_KEY
Qwen/Qwen3-30B-A3B,Qwen3-30B-A3B,,0.1,0.45,openai,YOUR_API_BASE_URL,YOUR_API_KEY
Qwen/Qwen3-32B,Qwen3-32B,,0.1,0.45,openai,YOUR_API_BASE_URL,YOUR_API_KEY
Qwen/Qwen3-4B,Qwen3-4B,,0.02,0.04,openai,YOUR_API_BASE_URL,YOUR_API_KEY
Qwen/Qwen3-8B,Qwen3-8B,,0.035,0.138,openai,YOUR_API_BASE_URL,YOUR_API_KEY
Qwen/QwQ-32B,qwq-32b,,0.15,0.45,openai,YOUR_API_BASE_URL,YOUR_API_KEY
